road_segment,Latitude,Longitude
27,24.810974,120.970021
5,24.786925,120.986707
4,24.786012,120.988147
6,24.788248,120.982291
7,24.790287,120.976608
8,24.794813,120.972512
47,24.795998,120.997936
45,24.801061,120.987161
32,24.815031,120.985235
30,24.814245,120.974301
18,24.796506,120.952382
37,24.805481,120.977173
14,24.794781,120.965201
22,24.804961,120.966084
16,24.796701,120.960701
9,24.798249,120.978117
21,24.802567,120.965172
17,24.802188,120.971735
10,24.799731,120.980471
29,24.812155,120.971898
28,24.813821,120.967381
31,24.814632,120.979652
11,24.79747,120.98561
26,24.809132,120.960126
12,24.801905,120.97662
13,24.797298,120.969155
25,24.808988,120.966773
41,24.805558,120.986657
3,24.784881,120.991762
1,24.782915,120.997304
43,24.803639,120.996334
23,24.806158,120.962398
20,24.80137,120.960467
24,24.804801,120.955522
49,24.793317,121.001258
2,24.780686,120.99201
48,24.796608,121.002139
34,24.812401,120.981326
19,24.797883,120.956221
46,24.798933,120.993665
44,24.802691,120.998355
33,24.816092,120.993446
39,24.810515,120.984943
15,24.793298,120.963024
35,24.809863,120.977298
36,24.807052,120.975868
40,24.807942,120.988591
38,24.807029,120.979478
42,24.805295,120.992679
