from,to,cost
27,5,3160.35307665183
5,27,3160.35307665183
27,4,3324.4390757702913
4,27,3324.4390757702913
27,6,2814.21259685671
6,27,2814.21259685671
27,7,2394.4540731973657
7,27,2394.4540731973657
27,8,1814.526229451058
8,27,1814.526229451058
27,47,3272.9691459911633
47,27,3272.9691459911633
27,45,2051.3462104498276
45,27,2051.3462104498276
27,32,1600.4381676227106
32,27,1600.4381676227106
27,30,564.7107462894328
30,27,564.7107462894328
27,18,2399.598077891214
18,27,2399.598077891214
27,37,945.6082912308693
37,27,945.6082912308693
27,14,1865.1511329483753
14,27,1865.1511329483753
27,22,777.7878944001138
22,27,777.7878944001138
27,16,1844.9444090462093
16,27,1844.9444090462093
27,9,1633.9783066121252
9,27,1633.9783066121252
27,21,1055.1894133998294
21,27,1055.1894133998294
27,17,992.1582475121296
17,27,992.1582475121296
27,10,1635.6871438695846
10,27,1635.6871438695846
27,29,230.5113709447292
29,27,230.5113709447292
27,28,413.78303023201187
28,27,413.78303023201187
27,31,1053.7255914964635
31,27,1053.7255914964635
27,11,2175.0048504262595
11,27,2175.0048504262595
27,26,1019.5091283084089
26,27,1019.5091283084089
27,12,1208.542091147127
12,27,1208.542091147127
27,13,1523.2119872206656
13,27,1523.2119872206656
27,25,395.2697348348665
25,27,395.2697348348665
27,41,1783.8611889910248
41,27,1783.8611889910248
27,3,3637.904726263195
3,27,3637.904726263195
27,1,4161.627669244104
1,27,4161.627669244104
27,43,2778.299611911493
43,27,2778.299611911493
27,23,937.4297445995866
23,27,937.4297445995866
27,20,1438.8839451339777
20,27,1438.8839451339777
27,24,1616.418565672442
24,27,1616.418565672442
27,49,3714.3407313534913
49,27,3714.3407313534913
27,2,4033.5352253342703
2,27,4033.5352253342703
27,48,3614.095350796462
48,27,3614.095350796462
27,34,1152.0021225153869
34,27,1152.0021225153869
27,19,2014.7374562154782
19,27,2014.7374562154782
27,46,2736.4578975001455
46,27,2736.4578975001455
27,44,3004.5340755897932
44,27,3004.5340755897932
27,33,2431.795505216248
33,27,2431.795505216248
27,39,1506.9644146596108
39,27,1506.9644146596108
27,15,2088.523486395036
15,27,2088.523486395036
27,35,744.7973498765183
35,27,744.7973498765183
27,36,733.8061690780991
36,27,733.8061690780991
27,40,1904.397882630869
40,27,1904.397882630869
27,38,1050.4949099478056
38,27,1050.4949099478056
27,42,2372.534739094887
42,27,2372.534739094887
5,4,177.3101545972552
4,5,177.3101545972552
5,6,469.44260867476873
6,5,469.44260867476873
5,7,1085.869540980294
7,5,1085.869540980294
5,8,1680.0793471897325
8,5,1680.0793471897325
5,47,1517.4735385711729
47,5,1517.4735385711729
5,45,1572.519440432248
45,5,1572.519440432248
5,32,3128.7746374466124
32,5,3128.7746374466124
5,30,3285.82665247828
30,5,3285.82665247828
5,18,3625.0865053587404
18,5,3625.0865053587404
5,37,2276.7400260134386
37,5,2276.7400260134386
5,14,2340.1376000876294
14,5,2340.1376000876294
5,22,2890.6395731552134
22,5,2890.6395731552134
5,16,2841.3848714645032
16,5,2841.3848714645032
5,9,1528.8637782745154
9,5,1528.8637782745154
5,21,2784.023141117272
21,5,2784.023141117272
5,17,2272.5623699190187
17,5,2272.5623699190187
5,10,1556.899238221752
10,5,1556.899238221752
5,29,3178.8448020566602
29,5,3178.8448020566602
5,28,3570.681243647481
28,5,3570.681243647481
5,31,3162.1094077144908
31,5,3162.1094077144908
5,11,1177.7680910601546
11,5,1177.7680910601546
5,26,3646.462185641636
26,5,3646.462185641636
5,12,1952.267691161197
12,5,1952.267691161197
5,13,2114.1714604711065
13,5,2114.1714604711065
5,25,3172.9327761671643
25,5,3172.9327761671643
5,41,2071.9012156419676
41,5,2071.9012156419676
5,3,558.6363543461965
3,5,558.6363543461965
5,1,1158.9988400731115
1,5,1158.9988400731115
5,43,2097.2458722285796
43,5,2097.2458722285796
5,23,3254.9836076870374
23,5,3254.9836076870374
5,20,3097.7474366021224
20,5,3097.7474366021224
5,24,3722.965919474356
24,5,3722.965919474356
5,49,1631.8210417565567
49,5,1631.8210417565567
5,2,876.2924239740278
2,5,876.2924239740278
5,48,1893.6911970237088
48,5,1893.6911970237088
5,34,2884.4047423146785
34,5,2884.4047423146785
5,19,3309.8935717451373
19,5,3309.8935717451373
5,46,1508.7002770660347
46,5,1508.7002770660347
5,44,2110.8920951727373
44,5,2110.8920951727373
5,33,3313.789660154113
33,5,3313.789660154113
5,39,2629.124921226748
39,5,2629.124921226748
5,15,2493.5726424237596
15,5,2493.5726424237596
5,35,2721.6810542776298
35,5,2721.6810542776298
5,36,2491.150108003518
36,5,2491.150108003518
5,40,2344.7089001041577
40,5,2344.7089001041577
5,38,2351.547940521021
38,5,2351.547940521021
5,42,2129.7490997151226
42,5,2129.7490997151226
4,6,641.3242107381744
6,4,641.3242107381744
4,7,1258.120140555796
7,4,1258.120140555796
4,8,1857.0979554484825
8,4,1857.0979554484825
4,47,1486.4262320592677
47,4,1486.4262320592677
4,45,1676.329929775937
45,4,1676.329929775937
4,32,3240.1257548727735
32,4,3240.1257548727735
4,30,3436.4160243132756
30,4,3436.4160243132756
4,18,3794.2679793433126
18,4,3794.2679793433126
4,37,2431.8135118969913
37,4,2431.8135118969913
4,14,2513.216179535623
14,4,2513.216179535623
4,22,3065.889083507407
22,4,3065.889083507407
4,16,3014.780386778168
16,4,3014.780386778168
4,9,1696.0629716766462
9,4,1696.0629716766462
4,21,2960.978380588389
21,4,2960.978380588389
4,17,2445.3979744583326
17,4,2445.3979744583326
4,10,1710.9967690452636
10,4,1710.9967690452636
4,29,3337.767598781036
29,4,3337.767598781036
4,28,3735.715397553426
28,4,3735.715397553426
4,31,3295.8978997562367
31,4,3295.8978997562367
4,11,1299.556302515821
11,4,1299.556302515821
4,26,3822.2472490571176
26,4,3822.2472490571176
4,12,2115.8977146599104
12,4,2115.8977146599104
4,13,2291.3952771553204
13,4,2291.3952771553204
4,25,3343.958476640174
25,4,3343.958476640174
4,41,2178.614067785927
41,4,2178.614067785927
4,3,386.0032086841648
3,4,386.0032086841648
4,1,986.4856554275337
1,4,986.4856554275337
4,43,2127.138830756234
43,4,2127.138830756234
4,23,3431.325928837822
23,4,3431.325928837822
4,20,3274.7097109756487
20,4,3274.7097109756487
4,24,3900.094756594215
24,4,3900.094756594215
4,49,1552.9165018374256
49,4,1552.9165018374256
4,2,709.0961943231658
2,4,709.0961943231658
4,48,1839.357149334729
48,4,1839.357149334729
4,34,3014.0185488869806
34,4,3014.0185488869806
4,19,3482.672079843318
19,4,3482.672079843318
4,46,1540.9487905760427
46,4,1540.9487905760427
4,44,2121.6580578999074
44,4,2121.6580578999074
4,33,3387.241158976162
33,4,3387.241158976162
4,39,2743.737301866576
39,4,2743.737301866576
4,15,2662.394048141874
15,4,2662.394048141874
4,35,2869.3159563415793
35,4,2869.3159563415793
4,36,2647.5958749361
36,4,2647.5958749361
4,40,2438.9165785284586
40,4,2438.9165785284586
4,38,2495.445935142327
38,4,2495.445935142327
4,42,2192.4319852774
42,4,2192.4319852774
6,7,616.8700330852784
7,6,616.8700330852784
6,8,1227.7545742613595
8,6,1227.7545742613595
6,47,1799.1256688116082
47,6,1799.1256688116082
6,45,1507.1683800044132
45,6,1507.1683800044132
6,32,2992.9228182034312
32,6,2992.9228182034312
6,30,3001.1323647992504
30,6,3001.1323647992504
6,18,3155.7555016150636
18,6,3155.7555016150636
6,37,1984.643309723489
37,6,1984.643309723489
6,14,1871.892030452769
14,6,1871.892030452769
6,22,2475.9029282851725
22,6,2475.9029282851725
6,16,2373.477327930314
16,6,2373.477327930314
6,9,1189.2065504343923
9,6,1189.2065504343923
6,21,2349.743206065451
21,6,2349.743206065451
6,17,1880.9862410321684
17,6,1880.9862410321684
6,10,1290.0009488062935
10,6,1290.0009488062935
6,29,2857.8496629711876
29,6,2857.8496629711876
6,28,3217.3026953995436
28,6,3217.3026953995436
6,31,2945.8353386923527
31,6,2945.8353386923527
6,11,1078.7855159838261
11,6,1078.7855159838261
6,26,3224.653118190638
26,6,3224.653118190638
6,12,1622.9040291376689
12,6,1622.9040291376689
6,13,1664.6378996553713
13,6,1664.6378996553713
6,25,2787.8511070906047
25,6,2787.8511070906047
6,41,1974.5948578572682
41,6,1974.5948578572682
6,3,1026.798003097912
3,6,1026.798003097912
6,1,1627.4739754113982
1,6,1627.4739754113982
6,43,2222.2381992972905
43,6,2222.2381992972905
6,23,2828.13370631852
23,6,2828.13370631852
6,20,2642.391937440605
20,6,2642.391937440605
6,24,3269.469806107916
24,6,3269.469806107916
6,49,1995.9163991704727
49,6,1995.9163991704727
6,2,1292.1749357858582
2,6,1292.1749357858582
6,48,2208.7297846951396
48,6,2208.7297846951396
6,34,2687.4569070897955
34,6,2687.4569070897955
6,19,2841.381781053737
19,6,2841.381781053737
6,46,1652.2351210732177
46,6,1652.2351210732177
6,44,2282.2502911835486
44,6,2282.2502911835486
6,33,3294.497277999935
33,6,3294.497277999935
6,39,2490.4065508063973
39,6,2490.4065508063973
6,15,2024.3992098637236
15,6,2024.3992098637236
6,35,2455.7529637433126
35,6,2455.7529637433126
6,36,2189.1235232448985
36,6,2189.1235232448985
6,40,2280.340866371269
40,6,2280.340866371269
6,38,2107.5676785823493
38,6,2107.5676785823493
6,42,2166.246113871834
42,6,2166.246113871834
7,8,651.3381654731697
8,7,651.3381654731697
7,47,2244.6736713856653
47,7,2244.6736713856653
7,45,1603.1269224148098
45,7,1603.1269224148098
7,32,2885.917900602778
32,7,2885.917900602778
7,30,2674.1662186638546
30,7,2674.1662186638546
7,18,2541.4000993294553
18,7,2541.4000993294553
7,37,1690.4580580249615
37,7,1690.4580580249615
7,14,1255.2490763392814
14,7,1255.2490763392814
7,22,1947.0170789955255
22,7,1947.0170789955255
7,16,1757.0042135132649
16,7,1757.0042135132649
7,9,898.3426267644921
9,7,898.3426267644921
7,21,1788.0507151658542
21,7,1788.0507151658542
7,17,1411.795625579644
17,7,1411.795625579644
7,10,1120.1882105430502
10,7,1120.1882105430502
7,29,2477.651762983089
29,7,2477.651762983089
7,28,2777.660079750407
28,7,2777.660079750407
7,31,2724.421860421602
31,7,2724.421860421602
7,11,1209.8325196918854
11,7,1209.8325196918854
7,26,2675.6100409852193
26,7,2675.6100409852193
7,12,1291.863225657089
12,7,1291.863225657089
7,13,1083.4114567540935
13,7,1083.4114567540935
7,25,2304.276821140026
25,7,2304.276821140026
7,41,1977.9629750535546
41,7,1977.9629750535546
7,3,1643.6660699356503
3,7,1643.6660699356503
7,1,2244.341291056435
1,7,2244.341291056435
7,43,2483.771501958038
43,7,2483.771501958038
7,23,2274.1767699175484
23,7,2274.1767699175484
7,20,2042.9059866923528
20,7,2042.9059866923528
7,24,2671.1413282280128
24,7,2671.1413282280128
7,49,2511.0475137328344
49,7,2511.0475137328344
7,2,1886.089428829742
2,7,1886.089428829742
7,48,2671.365060478385
48,7,2671.365060478385
7,34,2504.656232770508
34,7,2504.656232770508
7,19,2224.5537488657433
19,7,2224.5537488657433
7,46,1972.0325023022017
46,7,1972.0325023022017
7,44,2592.5487847483205
44,7,2592.5487847483205
7,33,3334.9618818951867
33,7,3334.9618818951867
7,39,2401.4523283623266
39,7,2401.4523283623266
7,15,1411.544840631405
15,7,1411.544840631405
7,35,2177.865861353616
35,7,2177.865861353616
7,36,1865.6788665623562
36,7,1865.6788665623562
7,40,2305.865813606091
40,7,2305.865813606091
7,38,1884.031954920919
38,7,1884.031954920919
7,42,2327.3589840553022
42,7,2327.3589840553022
8,47,2569.780382305166
47,8,2569.780382305166
8,45,1633.774952770708
45,8,1633.774952770708
8,32,2589.0788043301764
32,8,2589.0788043301764
8,30,2168.272137203387
30,8,2168.272137203387
8,18,2040.7000035060507
18,8,2040.7000035060507
8,37,1276.122600177953
37,8,1276.122600177953
8,14,738.013708748686
14,8,738.013708748686
8,22,1301.652630255824
22,8,1301.652630255824
8,16,1210.5882294248108
16,8,1210.5882294248108
8,9,682.7063557628518
9,8,682.7063557628518
8,21,1136.8134376252126
21,8,1136.8134376252126
8,17,823.8046767487992
17,8,823.8046767487992
8,10,971.8567593638287
10,8,971.8567593638287
8,29,1929.3380865065837
29,8,1929.3380865065837
8,28,2176.1211122730324
28,8,2176.1211122730324
8,31,2318.6203535024715
31,8,2318.6203535024715
8,11,1354.7640379062068
11,8,1354.7640379062068
8,26,2024.392870084615
26,8,2024.392870084615
8,12,890.9717940317222
12,8,890.9717940317222
8,13,437.24522264504816
13,8,437.24522264504816
8,25,1679.2684586589155
25,8,1679.2684586589155
8,41,1861.7540612398027
41,8,1861.7540612398027
8,3,2235.157253991513
3,8,2235.157253991513
8,1,2830.9019766650354
1,8,2830.9019766650354
8,43,2597.1764146071678
43,8,2597.1764146071678
8,23,1622.8514819117072
23,8,1622.8514819117072
8,20,1417.699187584698
