from,to,cost
4,1,3160.35307665183
1,4,3160.35307665183
4,2,2394.4540731973657
2,4,2394.4540731973657
4,6,2372.534739094887
6,4,2372.534739094887
4,5,2051.3462104498276
5,4,2051.3462104498276
4,8,564.7107462894328
8,4,564.7107462894328
4,7,945.6082912308693
7,4,945.6082912308693
4,9,785.2466751823025
9,4,785.2466751823025
4,3,1844.9444090462093
3,4,1844.9444090462093
1,2,1085.869540980294
2,1,1085.869540980294
1,6,2129.7490997151226
6,1,2129.7490997151226
1,5,1572.519440432248
5,1,1572.519440432248
1,8,3285.82665247828
8,1,3285.82665247828
1,7,2276.7400260134386
7,1,2276.7400260134386
1,9,2884.6370779450344
9,1,2884.6370779450344
1,3,2841.3848714645032
3,1,2841.3848714645032
2,6,2327.3589840553022
6,2,2327.3589840553022
2,5,1603.1269224148098
5,2,1603.1269224148098
2,8,2674.1662186638546
8,2,2674.1662186638546
2,7,1690.4580580249615
7,2,1690.4580580249615
2,9,1939.7638627993435
9,2,1939.7638627993435
2,3,1757.0042135132649
3,2,1757.0042135132649
6,5,729.2955934162069
5,6,729.2955934162069
6,8,2105.0395230804584
8,6,2105.0395230804584
6,7,1565.2481484141665
7,6,1565.2481484141665
6,9,2684.78646469651
9,6,2684.78646469651
6,3,3366.325678389807
3,6,3366.325678389807
5,8,1958.0531060337353
8,5,1958.0531060337353
5,7,1121.5837204750499
7,5,1121.5837204750499
5,9,2169.5017335547855
9,5,2169.5017335547855
5,3,2714.5467526178013
3,5,2714.5467526178013
8,7,1016.7119377603278
7,8,1016.7119377603278
8,9,1330.9822048512021
9,8,1330.9822048512021
8,3,2385.375084323079
3,8,2385.375084323079
7,9,1121.2524185965726
9,7,1121.2524185965726
7,3,1928.1149000753226
3,7,1928.1149000753226
9,3,1059.7114775867312
3,9,1059.7114775867312
4,4,0.0
1,1,0.0
2,2,0.0
6,6,0.0
5,5,0.0
8,8,0.0
7,7,0.0
9,9,0.0
3,3,0.0
